Time Detect LP,Time Detect Face,Total
0.1,2.844,2.944
0.1,2.847,2.947
0.1,2.89,2.991
0.103,2.834,2.937
0.1,2.792,2.892
0.1,2.828,2.928
0.102,2.83,2.933
0.106,2.821,2.927
0.101,2.818,2.919
0.101,2.802,2.903
0.104,2.867,2.97
0.099,2.847,2.946
0.1,2.845,2.944
0.106,2.802,2.907
0.1,2.869,2.97
0.102,2.81,2.912
0.106,2.833,2.939
0.106,3.038,3.144
0.102,3.055,3.157
0.107,2.854,2.961
0.105,2.82,2.925
0.101,2.854,2.955
0.102,2.851,2.953
0.102,2.804,2.906
0.1,2.801,2.9
0.101,2.822,2.923
0.099,2.803,2.902
0.101,2.827,2.928
0.106,2.872,2.979
0.1,2.886,2.986
0.101,2.873,2.974
0.102,2.888,2.99
0.103,2.859,2.962
0.107,3.065,3.171
0.102,2.822,2.924
0.102,2.801,2.903
0.104,2.819,2.923
0.101,2.85,2.951
0.103,2.838,2.941
0.102,2.904,3.006
0.1,2.784,2.884
0.103,2.845,2.948
0.1,2.809,2.909
0.108,2.818,2.925
0.11,2.827,2.937
0.099,2.826,2.925
0.1,2.805,2.905
0.107,2.802,2.909
0.101,2.902,3.003
0.101,2.826,2.927
0.199,2.628,2.826
0.121237754821777,2.24919843673706,
0.120637178421021,2.23238682746887,
0.12057638168335,2.30512118339539,
0.125855922698975,2.20289611816406,
0.120114326477051,2.27391719818115,
0.121538400650024,2.18406200408936,
0.125418186187744,2.13443088531494,
0.121816873550415,2.13535499572754,
0.12027645111084,2.1664445400238,
0.121677160263062,2.15022444725037,
0.119163751602173,2.10451626777649,
0.123054504394531,2.11112952232361,
0.121837139129639,2.17349696159363,
0.120968341827393,2.33779907226562,
0.122556924819946,2.16416501998901,
0.120997428894043,2.17307949066162,
0.12636399269104,2.15900778770447,
0.125139951705933,2.16073703765869,
0.120299816131592,2.15589070320129,
0.120639085769653,2.16144895553589,
0.12163257598877,2.15663075447083,
0.121347427368164,2.14901757240295,
0.120083332061768,2.17117428779602,
0.119887828826904,2.27632141113281,
0.128715753555298,2.14402318000793,
0.128274917602539,2.19612956047058,
0.127408504486084,2.18674230575562,
0.119240283966064,2.15606141090393,
0.121765375137329,2.1532301902771,
0.126793384552002,2.39724612236023,
0.140310049057007,2.3955659866333,
0.130403518676758,2.41905641555786,
0.121783971786499,2.20882725715637,
0.127960443496704,2.1481454372406,
0.120198249816895,2.17323684692383,
0.121966600418091,2.27782082557678,
0.122727870941162,2.50983309745789,
0.122505664825439,2.13513851165771,
0.122089862823486,2.10690927505493,
0.122721195220947,2.12785148620605,
0.124729871749878,2.13895773887634,
0.121996641159058,2.153883934021,
0.123738527297974,2.15705895423889,
0.126702070236206,2.18998265266418,
0.122005939483643,2.12532424926758,
0.127408981323242,2.17249703407288,
0.121278524398804,2.26725339889526,
0.129171371459961,2.27790832519531,
0.124198913574219,2.17785024642944,
0.122106075286865,2.40521144866943,
0.120074033737183,2.14633321762085,
0.125882387161255,2.34506940841675,
0.120451927185059,2.1915020942688,
0.121868371963501,2.44458270072937,
0.121597290039063,2.17627048492432,
0.128252983093262,2.12174296379089,
0.126472473144531,2.14674425125122,
0.127753734588623,2.13329911231995,
0.122038841247559,2.08667063713074,
0.122756242752075,2.10222673416138,
0.121547222137451,2.14392685890198,
0.123678922653198,2.30066561698914,
0.121888160705566,2.1613245010376,
0.130175590515137,2.23085236549377,
0.126378297805786,2.29875016212463,
0.123775482177734,2.29872536659241,
0.122014284133911,2.32442808151245,
0.127624750137329,2.1561062335968,
0.122823715209961,2.13658428192139,
0.123085260391235,2.14198207855225,
0.128642559051514,2.16862320899963,
0.128254652023315,2.1381688117981,
0.122025489807129,2.14291262626648,
0.122865676879883,2.15510082244873,
0.121433734893799,2.24143314361572,
0.123374700546265,2.12780237197876,
0.127477645874023,2.24856114387512,
0.122607231140137,2.3177695274353,
0.125903606414795,2.12726402282715,
0.12353515625,2.1670401096344,
0.126307010650635,2.26437878608704,
0.120149374008179,2.12305617332458,
0.120610237121582,2.21150422096252,
0.122629880905151,2.20205760002136,
0.12767219543457,2.18911337852478,
0.121967792510986,2.13158679008484,
0.122963905334473,2.15077781677246,
0.122366189956665,2.14975953102112,
0.120981454849243,2.15058207511902,
0.120141744613647,2.10508751869202,
0.123327255249023,2.40651273727417,
0.126991748809814,2.1614203453064,
0.128762006759644,2.18320822715759,
0.122294187545776,2.1350269317627,
0.122335195541382,2.16095805168152,
0.122901439666748,2.19355607032776,
0.129322528839111,2.24442434310913,
0.124738454818726,2.31101393699646,
0.123187780380249,2.32364916801453,
0.124030113220215,2.11593842506409,
0.120573282241821,2.14035487174988,
0.122398614883423,2.1368715763092,
0.121580362319946,2.24876880645752,
0.122480392456055,2.21675777435303,
0.122724771499634,2.38112187385559,
0.127477407455444,2.22916674613953,
0.120823383331299,2.17035627365112,
0.122386693954468,2.11356973648071,
0.127431631088257,2.16286563873291,
0.120084047317505,2.15420985221863,
0.124533653259277,2.10602140426636,
0.122391700744629,2.13777875900269,
